 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  1.18000  1.10245  1.13627    1.37078    1.57153    1.76178     1.82902     1.90891      2.01519
  1.19000  1.09900  1.13855    1.37318    1.57469    1.76532     1.83270     1.91275      2.01924
  1.20000  1.09566  1.14086    1.37547    1.57789    1.76891     1.83642     1.91664      2.02334
  1.21000  1.09243  1.14320    1.37766    1.58112    1.77253     1.84019     1.92057      2.02749
  1.22000  1.08930  1.14557    1.37974    1.58439    1.77620     1.84399     1.92454      2.03168
  1.23000  1.08628  1.14796    1.38172    1.58770    1.77990     1.84784     1.92855      2.03592
  1.24000  1.08335  1.15037    1.38360    1.59103    1.78364     1.85172     1.93260      2.04020
  1.25000  1.08052  1.15280    1.38539    1.59440    1.78742     1.85564     1.93669      2.04452
  1.26000  1.07778  1.15526    1.38710    1.59780    1.79123     1.85960     1.94082      2.04888
  1.27000  1.07512  1.15774    1.38872    1.60123    1.79508     1.86359     1.94499      2.05328
  1.28000  1.07256  1.16024    1.39026    1.60469    1.79896     1.86762     1.94919      2.05771
  1.29000  1.07007  1.16277    1.39173    1.60818    1.80287     1.87168     1.95343      2.06219
  1.30000  1.06767  1.16531    1.39312    1.61169    1.80681     1.87577     1.95770      2.06669
  1.31000  1.06535  1.16787    1.39444    1.61524    1.81078     1.87989     1.96200      2.07124
  1.32000  1.06310  1.17045    1.39570    1.61880    1.81478     1.88404     1.96634      2.07581
  1.33000  1.06093  1.17305    1.39689    1.62240    1.81880     1.88822     1.97070      2.08042
  1.34000  1.05882  1.17566    1.39803    1.62601    1.82286     1.89243     1.97509      2.08506
  1.35000  1.05679  1.17829    1.39910    1.62965    1.82694     1.89667     1.97951      2.08972
  1.36000  1.05482  1.18094    1.40012    1.63331    1.83104     1.90093     1.98396      2.09442
  1.37000  1.05292  1.18360    1.40109    1.63700    1.83517     1.90522     1.98844      2.09914
